ROW_ID,ICD10_CODE_CN,ICD10_CODE,TITLE_CN,TITLE
1,A00.000,A00.0,古典生物型霍乱,"Cholera due to Vibrio cholerae 01, biovar cholerae"
2,A00.100,A00.1,埃尔托型霍乱,"Cholera due to Vibrio cholerae 01, biovar eltor"
3,A00.900,A00.9,霍乱,"Cholera, unspecified"
4,A01.000,A01.0,伤寒,Typhoid fever
5,A01.001,A01.0,伤寒,Typhoid fever
6,A01.001+,A01.0,伤寒性肝炎,Typhoid fever
7,A01.002+,A01.0,伤寒性脑膜炎,Typhoid fever
8,A01.003,A01.0,伤寒性脑膜炎,Typhoid fever
9,A01.100,A01.1,副伤寒甲,Paratyphoid fever A
10,A01.200,A01.2,副伤寒乙,Paratyphoid fever B
11,A01.300,A01.3,副伤寒丙,Paratyphoid fever C
12,A01.301,A01.3,丙种副伤寒,Paratyphoid fever C
13,A01.400,A01.4,副伤寒,"Paratyphoid fever, unspecified"
14,A01.401,A01.4,副伤寒,"Paratyphoid fever, unspecified"
15,A02.000,A02.0,沙门菌肠炎,Salmonella enteritis
16,A02.001,A02.0,阿哥拉沙门菌肠炎,Salmonella enteritis
17,A02.002,A02.0,沙门菌伦敦血清型肠炎,Salmonella enteritis
18,A02.003,A02.0,沙门菌胃肠炎,Salmonella enteritis
19,A02.004,A02.0,鼠伤寒沙门菌肠炎,Salmonella enteritis
20,A02.007,A02.0,鼠伤寒沙门氏菌肠炎,Salmonella enteritis
21,A02.100,A02.1,沙门菌败血症,Salmonella sepsis
22,A02.101,A02.1,猪霍乱沙门菌败血症,Salmonella sepsis
23,A02.200,A02.2,局限性沙门菌感染,Localized salmonella infections
24,A02.201,A02.2,沙门氏菌性肺炎,Localized salmonella infections
25,A02.201+,A02.2,沙门菌肺炎,Localized salmonella infections
26,A02.202,A02.2,肠病性关节炎,Localized salmonella infections
27,A02.202+,A02.2,沙门菌关节炎,Localized salmonella infections
28,A02.203,A02.2,沙门氏菌性脑膜炎,Localized salmonella infections
29,A02.203+,A02.2,沙门菌脑膜炎,Localized salmonella infections
30,A02.800,A02.8,特指沙门菌感染,Other specified salmonella infections
31,A02.900,A02.9,沙门菌感染,"Salmonella infection, unspecified"
32,A02.901,A02.9,猪霍乱沙门菌感染,"Salmonella infection, unspecified"
33,A02.903,A02.9,沙门氏菌属食物中毒,"Salmonella infection, unspecified"
34,A03.000,A03.0,志贺痢疾杆菌引起细菌性痢疾,Shigellosis due to Shigella dysenteriae
35,A03.100,A03.1,弗氏志贺菌引起细菌性痢疾,Shigellosis due to Shigella flexneri
36,A03.101,A03.1,福氏志贺菌细菌性痢疾,Shigellosis due to Shigella flexneri
37,A03.200,A03.2,波氏志贺菌引起细菌性痢疾,Shigellosis due to Shigella boydii
38,A03.201,A03.2,鲍氏志贺菌细菌性痢疾,Shigellosis due to Shigella boydii
39,A03.300,A03.3,宋内志贺菌引起细菌性痢疾,Shigellosis due to Shigella sonnei
40,A03.301,A03.3,宋内氏志贺氏菌痢疾,Shigellosis due to Shigella sonnei
41,A03.800,A03.8,特指细菌性痢疾,Other shigellosis
42,A03.900,A03.9,细菌性痢疾,"Shigellosis, unspecified"
43,A03.901,A03.9,细菌性痢疾,"Shigellosis, unspecified"
44,A03.902,A03.9,慢性迁延型细菌性痢疾,"Shigellosis, unspecified"
45,A03.903,A03.9,慢性细菌性痢疾,"Shigellosis, unspecified"
46,A03.904,A03.9,中毒型细菌性痢疾,"Shigellosis, unspecified"
47,A03.905,A03.9,中毒性痢疾,"Shigellosis, unspecified"
48,A03.906,A03.9,痢疾,"Shigellosis, unspecified"
49,A04.000,A04.0,肠道病原性大肠杆菌感染,Enteropathogenic Escherichia coli infection
50,A04.100,A04.1,肠毒性大肠杆菌感染,Enterotoxigenic Escherichia coli infection
51,A04.200,A04.2,肠侵袭性大肠杆菌感染,Enteroinvasive Escherichia coli infection
52,A04.300,A04.3,肠出血性大肠杆菌感染,Enterohaemorrhagic Escherichia coli infection
53,A04.301,A04.3,新生儿肠出血性大肠杆菌肠炎,Enterohaemorrhagic Escherichia coli infection
54,A04.400,A04.4,特指肠道大肠杆菌感染,Other intestinal Escherichia coli infections
55,A04.401,A04.4,大肠杆菌性肠炎,Other intestinal Escherichia coli infections
56,A04.402,A04.4,新生儿大肠杆菌肠炎,Other intestinal Escherichia coli infections
57,A04.500,A04.5,弯曲菌肠炎,Campylobacter enteritis
58,A04.600,A04.6,小肠结肠耶尔森菌性小肠炎,Enteritis due to Yersinia enterocolitica
59,A04.700,A04.7,艰难梭状芽胞杆菌性小肠结肠炎,Enterocolitis due to Clostridium difficile
60,A04.800,A04.8,特指细菌性肠道感染,Other specified bacterial intestinal infections
61,A04.801,A04.8,变形杆菌肠炎,Other specified bacterial intestinal infections
62,A04.802,A04.8,绿脓杆菌肠炎,Other specified bacterial intestinal infections
63,A04.803,A04.8,厌氧菌肠炎,Other specified bacterial intestinal infections
64,A04.808,A04.8,绿脓杆菌性肠炎,Other specified bacterial intestinal infections
65,A04.809,A04.8,难辨芽胞杆菌肠炎,Other specified bacterial intestinal infections
66,A04.900,A04.9,细菌性肠道感染,"Bacterial intestinal infection, unspecified"
67,A04.901,A04.9,肠道感染,"Bacterial intestinal infection, unspecified"
68,A04.902,A04.9,细菌性肠炎,"Bacterial intestinal infection, unspecified"
69,A04.903,A04.9,感染性腹泻,"Bacterial intestinal infection, unspecified"
70,A04.904,A04.9,细菌性结肠炎,"Bacterial intestinal infection, unspecified"
71,A05.000,A05.0,食物媒介葡萄球菌食物中毒,Foodborne staphylococcal intoxication
72,A05.001,A05.0,食源性葡萄球菌食物中毒,Foodborne staphylococcal intoxication
73,A05.100,A05.1,肉毒中毒,Botulism
74,A05.101,A05.1,肉毒中毒,Botulism
75,A05.200,A05.2,食物媒介产气荚膜梭状芽胞杆菌食物中毒,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
76,A05.201,A05.2,产气荚膜梭状芽胞杆菌食物中毒,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
77,A05.202,A05.2,急性坏死性肠炎,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
78,A05.300,A05.3,食物媒介副溶血性弧菌食物中毒,Foodborne Vibrio parahaemolyticus intoxication
79,A05.301,A05.3,食源性副溶血性弧菌食物中毒,Foodborne Vibrio parahaemolyticus intoxication
80,A05.400,A05.4,食物媒介蜡样芽胞杆菌食物中毒,Foodborne Bacillus cereus intoxication
81,A05.401,A05.4,食源性蜡样芽胞杆菌食物中毒,Foodborne Bacillus cereus intoxication
82,A05.800,A05.8,特指细菌性食物中毒,Other specified bacterial foodborne intoxications
83,A05.900,A05.9,细菌性食物中毒,"Bacterial foodborne intoxication, unspecified"
84,A05.901,A05.9,细菌性食物中毒,"Bacterial foodborne intoxication, unspecified"
85,A06.000,A06.0,急性阿米巴痢疾,Acute amoebic dysentery
86,A06.001,A06.0,阿米巴结肠炎,Acute amoebic dysentery
87,A06.002,A06.0,阿米巴痢疾,Acute amoebic dysentery
88,A06.003,A06.0,阿米巴性痢疾,Acute amoebic dysentery
89,A06.004,A06.0,肠道阿米巴病,Acute amoebic dysentery
90,A06.005,A06.0,急性阿米巴痢疾,Acute amoebic dysentery
91,A06.100,A06.1,慢性肠阿米巴病,Chronic intestinal amoebiasis
92,A06.101,A06.1,慢性肠道阿米巴病,Chronic intestinal amoebiasis
93,A06.200,A06.2,阿米巴非痢疾性结肠炎,Amoebic nondysenteric colitis
94,A06.201,A06.2,非痢疾性阿米巴结肠炎,Amoebic nondysenteric colitis
95,A06.300,A06.3,肠道阿米巴瘤,Amoeboma of intestine
96,A06.301,A06.3,阿米巴性肉芽肿(阿米巴瘤),Amoeboma of intestine
97,A06.400,A06.4,阿米巴肝脓肿,Amoebic liver abscess
98,A06.401,A06.4,阿米巴性肝脓肿,Amoebic liver abscess
99,A06.402,A06.4,肝阿米巴病,Amoebic liver abscess
